,category,label,ask,ask_keyword,class_id,class
53,科学,science,什么是黑洞？,"什么,是,黑洞",2,science
54,食物,food,什么是食物？,"什么,是,食物",0,food
55,食物,food,酸奶有什么营养,"酸奶,有,什么,营养",0,food
56,历史,history,滑铁卢战役发生在什么年代？,"滑铁卢战役,发生,什么,年代",1,history
57,食物,food,五仁是哪些?,"五仁,是,哪些",0,food
58,历史,history,武汉为什么称为九省通衢,"武汉,为什么,称为,九省,通衢",1,history
59,食物,food,毛豆有什么营养,"毛豆,有,什么,营养",0,food
60,食物,food,冬季不能吃什么食物？,"冬季,不能,吃,什么,食物",0,food
61,食物,food,隔夜的鸡蛋不能吃?,"隔夜,的,鸡蛋,不能,吃",0,food
62,历史,history,美国是在哪年哪天独立的？,"美国,是,哪年,哪天,独立,的",1,history
63,历史,history,二战时德国共投入多少兵力？,"二战,时,德国,共,投入,多少,兵力",1,history
64,食物,food,隔夜茶能不能喝？,"隔夜茶,能,不能,喝",0,food
65,历史,history,丽江古城始建于哪个朝代？,"丽江,古城,始建,哪个,朝代",1,history
66,科学,science,什么是细菌学？,"什么,是,细菌学",2,science
67,科学,science,太阳是离地球有多远？,"太阳,是,离,地球,有,多,远",2,science
68,科学,science,什么是噪声？,"什么,是,噪声",2,science
69,食物,food,冰糖有什么功效,"冰糖,有,什么,功效",0,food
70,食物,food,山楂的功效？,"山楂,的,功效",0,food
71,历史,history,宋朝第一个皇帝叫什么名字,"宋朝,第一个,皇帝,叫,什么,名字",1,history
72,历史,history,鸦片战争是哪一年？,"鸦片战争,是,哪一年",1,history
73,历史,history,历史上哪些朝代在南京定都？,"历史,上,哪些,朝代,南京,定都",1,history
74,历史,history,历史上南京还有别的称呼吗？,"历史,上,南京,还有,别的,称呼",1,history
75,科学,science,什么是晶体？,"什么,是,晶体",2,science
76,科学,science,什么是超声波？,"什么,是,超声波",2,science
77,科学,science,什么是高可用性,"什么,是,高可用性",2,science
78,科学,science,什么是chatbot？,"什么,是",2,science
79,科学,science,组成细胞的化合物有哪些？,"组成,细胞,的,化合物,有,哪些",2,science
80,科学,science,什么是细胞学？,"什么,是,细胞学",2,science
81,历史,history,谁发明了世界上第一台计算机？,"谁,发明,了,世界,上,第一台,计算机",1,history
82,科学,science,什么是人工智能？,"什么,是,人工智能",2,science
83,科学,science,什么是牛顿第二定律,"什么,是,牛顿,第二,定律",2,science
84,食物,food,鲜枣应该如何保存啊？,"鲜枣,应该,如何,保存,啊",0,food
85,食物,food,葡萄酒的正确喝法,"葡萄酒,的,正确,喝",0,food
